runN,      total, Mismatch, Trackable, UP eff., X UP OUT, Y UP OUT,  X UP IN,  Y UP IN, DN eff.,  X DN IN,  Y DN IN, X DN OUT, Y DN OUT
  33,   13548208,        0,     17347,    4570,     1910,      623,      447,     1065,    2501,      814,     1101,      392,      640
  34,   26890706,        0,     45176,    9032,     3651,     1262,      843,     2853,    4685,     1493,     2011,      772,     1350
  35,   52358996,        1,     98282,    9304,     3751,     1374,      932,     3027,    4417,     1417,     1836,      769,     1268
  36,   88120770,        0,    167352,    9430,     3767,     1527,      979,     3114,    4462,     1476,     2030,      742,     1265
  37,    1454448,        0,      3346,    9446,     3794,     1635,      956,     3101,    4543,     1486,     2079,      852,     1344
  38,   58160086,        0,         0,       4,        0,        0,        0,        0,       1,        0,        0,        0,        0
  39,    1597771,        6,      4319,    9838,     4195,     1621,     1274,     4028,    5416,     1630,     2256,      979,     2219
  40,    7606905,        3,     23371,   10013,     4421,     1690,     1296,     4172,    5466,     1736,     2278,     1023,     2184
  41,    7606577,        6,     23066,   10156,     4511,     1697,     1382,     4375,    5292,     1603,     2174,     1026,     2097
  42,   25872385,        0,     71388,    3493,     1517,      606,      445,     1503,    1766,      559,      704,      354,      701
  43,   74282117,        3,   1038795,    9782,     4076,     4761,     3284,     4221,    5668,     1778,     2895,     1586,     2063
  44,   80167915,        1,   1105667,    9995,     4214,     4915,     3351,     4356,    5416,     1619,     2708,     1445,     1938
  45,   89478966,        4,   1110317,    8300,     3406,     3944,     2683,     3369,    6053,     1889,     3192,     1691,     2262
  46,   80864426,        2,   1125602,    9749,     4100,     4749,     3286,     4207,    5737,     1796,     2867,     1526,     2023
  47,   33461349,        1,    463855,    9787,     4078,     4661,     3132,     3918,    5452,     1783,     2728,     1450,     1822
  48,  485450240,        1,   5827696,    9629,     4177,     4524,     3188,     4073,    5114,     1584,     2593,     1366,     1819
  49,  201907926,        5,   2634047,    9803,     4189,     4471,     3287,     4121,    5217,     1580,     2659,     1448,     1888

  51,   76643259,        4,    959941,    9663,     4075,     4306,     3138,     4050,    5060,     1621,     2610,     1380,     1804
  52,   20629559,        0,         0,       2,        0,        0,        0,        0,       3,        0,        0,        0,        0
  53,     592032,        0,      7520,    8607,     3640,     3893,     3001,     3710,    4385,     1425,     2266,     1267,     1603
  54,     147868,        1,      1966,    8686,     3707,     3967,     3007,     3741,    4455,     1454,     2304,     1317,     1628
  55,     121671,        0,      1583,    8784,     3741,     4010,     2906,     3757,    4425,     1392,     2255,     1253,     1585
  56,    2078033,        1,     26192,    8605,     3773,     3885,     2878,     3808,    4436,     1423,     2299,     1270,     1585
  57,     796980,        0,         0,       0,        0,        0,        0,        0,       1,        0,        0,        0,        0




  62,   18607813,        0,         0,       1,        0,        0,        0,        0,       2,        0,        0,        0,        0
  63,   36596049,        1,    479919,    8835,     3660,     4157,     2933,     3748,    4301,     1408,     2253,     1286,     1642

  65,  171762320,        0,   2318927,    8735,     3576,     4178,     2894,     3705,    4403,     1487,     2374,     1309,     1673
  66,  108085310,        9,   1486454,    8942,     3728,     4327,     2973,     3768,    4342,     1472,     2378,     1307,     1616
 100,  355948429,        1,   4600578,    8525,     3526,     3882,     2818,     3618,    4147,     1406,     2243,     1207,     1612

 102,     444599,        0,      5552,    8528,     3496,     3896,     2815,     3664,    4293,     1426,     2331,     1311,     1670
 103,   26918665,        1,    330014,    8618,     3576,     3928,     2931,     3659,    4299,     1374,     2319,     1278,     1660
 104,  243380546,        0,   3082335,    8577,     3495,     3851,     2852,     3604,    4242,     1388,     2284,     1239,     1601
 105,   44463774,        0,    526291,    7412,     3153,     3383,     2454,     3174,    4961,     1590,     2629,     1447,     1752
 106,   19860800,        0,    224439,    7603,     3209,     3474,     2531,     3262,    4703,     1475,     2487,     1332,     1667
 107,   25322051,        1,    301995,    7437,     3101,     3388,     2410,     3078,    4786,     1547,     2595,     1396,     1827
 108,    4053611,        0,     43182,    5009,     2154,     2358,     1716,     2179,    5272,     1799,     2900,     1613,     2028
 109,    4759548,        1,     57505,    7559,     3290,     3505,     2595,     3237,    5019,     1616,     2665,     1456,     1822




 113,     485616,        0,      6003,    7692,     3159,     3473,     2580,     3316,    4806,     1607,     2548,     1426,     1800
 114,    9253344,        0,    114252,    7566,     3201,     3399,     2545,     3328,    4839,     1529,     2614,     1442,     1800
 115,   26732309,        0,    318232,    7529,     3159,     3391,     2456,     3196,    4844,     1573,     2569,     1424,     1791




 120,    9504248,        1,    111578,    7599,     3195,     3494,     2559,     3209,    4791,     1578,     2529,     1383,     1766
 121,  284289597,        2,   3304945,    7618,     3195,     3478,     2469,     3259,    4775,     1528,     2533,     1350,     1726
  38,     604232,        5,      1247,   58126,    23615,     9882,     6046,    19118,   28128,     9033,    12744,     4999,     8217
  36,   87007012, 11469664,    126764, 8419764,  2633211,  1002858,   655959,  2129741, 4024973,   998339,  1386545,   545332,   907149
  38,   51844348, 21357847,     39044, 5018529,   712009,   295521,   184898,   585653, 2419101,   275626,   385070,   152017,   249534
 122,    1145769,        0,     13230,    7443,     3038,     3318,     2522,     3227,    4758,     1528,     2545,     1394,     1756
 123,   45413891,        3,    500854,    7433,     3017,     3283,     2386,     3103,    4911,     1575,     2547,     1386,     1737
 124,    1998150,        2,     23350,    7415,     3089,     3286,     2438,     3201,    4844,     1610,     2585,     1422,     1765
 100,    1012151,        6,     13326,   90866,    37500,    43597,    30125,    37935,   45299,    15586,    24185,    13862,    16924
  26,   29128857,        0,         0,    8979,     1575,        0,        0,        0,    4477,        0,        0,        0,        0
  26,   29159588,      114,         0, 2645722,   471634,        0,        0,        0, 1288137,        0,        0,        0,        0
 131,     182761,        0,      1100,   15794,     3748,     7249,     4945,     4647,    9381,     3009,     4692,     2464,     2262
 134,     106777,        0,       969,    9194,     3895,     4213,     2959,     2756,    5339,     1708,     2646,     1437,     1269
 138,      78863,        1,        55,    5387,     2258,        5,      625,     1570,    2764,      448,     1406,      539,      742
 139,      79141,        0,       135,    5335,     2253,     1091,      607,     1531,    2762,      579,     1487,      553,      771
 140,      79670,        0,       303,    5449,     2297,     2255,      788,     1610,    2845,      888,     1477,      605,      788
 141,     160164,        3,         0,     982,        0,        0,        0,        0,    1019,        0,        0,        0,        0
 141,     159924,        4,         0,    1736,        0,        0,        2,        0,    1662,        0,        0,        0,        0
 141,     159898,        1,         0,    4956,        6,        0,        6,        2,    4300,        1,        2,        0,        1
 141,     159591,        1,         0,   18722,       47,        0,       27,        9,   16427,        3,        3,        1,       11
 141,     159473,        3,         0,   39223,      219,        2,      114,       33,   24419,       10,       11,       12,       40
 141,     159721,        2,         2,  244964,     2705,        4,      814,      307,  182522,      145,      122,      103,      386
 141,     160099,        0,         4,  304540,     5884,       16,     1660,     1034,  256232,      417,      499,      290,     1401
 141,     159095,        3,         3,  691271,    24173,       26,     7622,     4794,  424657,     1478,     1958,     2153,     4996
 141,     159416,        8,         5,  694164,    24539,       47,     7819,     4722,  424009,     1494,     2077,     2228,     4970
 141,     159259,        1,         4,  709842,    44821,      423,    31895,    12782,  705840,     4715,     7373,    28117,    15935
 141,     159466,     1971,       165,  680173,    35624,     8324,    28455,    24355,  695784,    12107,    18993,    15771,    31107
 141,         31,        0,         0,       0,        0,        0,        0,        0,       0,        0,        0,        0,        0
 141,        102,        0,         0,       0,        0,        0,        0,        0,       0,        0,        0,        0,        0
 141,        205,        0,         0,       0,        0,        0,        0,        0,       0,        0,        0,        0,        0
 141,       3211,        0,         0,       0,        0,        0,        0,        0,       0,        0,        0,        0,        0
 141,      21749,        0,         0,       0,        0,        0,        0,        0,       0,        0,        0,        0,        0
 141,     160164,        3,         0,     982,        0,        0,        0,        0,    1019,        0,        0,        0,        0
 141,     159924,        4,         0,    1736,        0,        0,        2,        0,    1662,        0,        0,        0,        0
 141,     159898,        1,         0,    4956,        6,        0,        6,        2,    4300,        1,        2,        0,        1
 141,     159591,        1,         0,   18722,       47,        0,       27,        9,   16427,        3,        3,        1,       11
 141,     159473,        3,         0,   39223,      219,        2,      114,       33,   24419,       10,       11,       12,       40
 141,     159721,        2,         2,  244964,     2705,        4,      814,      307,  182522,      145,      122,      103,      386
 141,     160099,        0,         4,  304540,     5884,       16,     1660,     1034,  256232,      417,      499,      290,     1401
 141,     159095,        3,         3,  691271,    24173,       26,     7622,     4794,  424657,     1478,     1958,     2153,     4996
 141,     159416,        8,         5,  694164,    24539,       47,     7819,     4722,  424009,     1494,     2077,     2228,     4970
 141,     159259,        1,         4,  709842,    44821,      423,    31895,    12782,  705840,     4715,     7373,    28117,    15935
 141,     159466,     1971,       165,  680173,    35624,     8324,    28455,    24355,  695784,    12107,    18993,    15771,    31107
 141,         31,        0,         0,       0,        0,        0,        0,        0,       0,        0,        0,        0,        0
 141,        102,        0,         0,       0,        0,        0,        0,        0,       0,        0,        0,        0,        0
 141,        205,        0,         0,       0,        0,        0,        0,        0,       0,        0,        0,        0,        0
 141,       3211,        0,         0,       0,        0,        0,        0,        0,       0,        0,        0,        0,        0
 141,      21749,        0,         0,       0,        0,        0,        0,        0,       0,        0,        0,        0,        0
  58,     159604,        1,         0,    1005,        0,        0,        0,        0,     952,        0,        0,        0,        0
  58,     159889,        2,         0,    1834,        0,        0,        0,        0,    1614,        0,        0,        0,        1
  58,     159823,        2,         0,    5087,        3,        0,        5,        0,    4434,        0,        0,        3,        1
  58,     159397,        1,         0,   18290,       38,        0,       32,        7,   15710,        3,        5,        4,        8
  58,     159199,        2,         0,   39233,      208,        1,       99,       37,   24158,       10,       13,       12,       40
  58,     159747,        3,         3,  241438,     2737,        8,      849,      331,  182558,      123,      134,      105,      452
  58,     159402,        4,         3,  299025,     5960,       17,     1676,     1011,  248637,      404,      553,      267,     1395
  58,     159443,        1,         3,  693435,    24245,       30,     7816,     4848,  418535,     1426,     2046,     2181,     4952
  58,     159791,        1,         5,  694705,    24253,       35,     7834,     4776,  419435,     1524,     2012,     2236,     4922
  58,     159120,     1774,        11,  707287,    43685,      413,    31017,    12521,  701628,     4724,     7196,    27298,    15685
  58,     159339,        1,       194,  684165,    37169,     8525,    28816,    25533,  694139,    12249,    19274,    15813,    31188
  58,         38,        0,         0,       0,        0,        0,        0,        0,       0,        0,        0,        0,        0
  58,         89,        0,         0,       0,        0,        0,        0,        0,       0,        0,        0,        0,        0
  58,        206,        0,         0,       0,        0,        0,        0,        0,       0,        0,        0,        0,        0
  58,       3137,        0,         0,       0,        0,        0,        0,        0,       0,        0,        0,        0,        0
  58,      21750,        0,         0,       0,        0,        0,        0,        0,       0,        0,        0,        0,        0
  59,     159670,        2,         0,   10597,       20,        0,       46,        7,   10342,        7,        3,        5,       11
  59,     158984,        0,         0,   33831,      170,        0,      202,       59,   30597,       31,       32,        7,       63
  59,     159458,        2,         1,   48466,      369,        0,      324,      120,   42873,       72,       86,       27,      155
  59,     159935,        1,         1,  128921,     1643,        4,     1188,      516,  106909,      295,      388,      171,      702
  59,     159768,        0,         0,  333069,     5674,        5,     2922,     1540,  287581,      874,     1169,      447,     2030
  59,     159759,        0,         5,  382647,    10288,        8,     4477,     3560,  341412,     1815,     2914,     1142,     4515
  59,     160359,        1,         2,  530758,    18726,       38,     9285,     8316,  462404,     3979,     6105,     3389,     9649
  59,     160822,        2,        20,  720996,    45238,      581,    24417,    18261,  713715,    10333,    17910,    10678,    22277
  59,     159713,        0,        19,  716802,    45019,      569,    24237,    18472,  709264,    10333,    17700,    10763,    22484
  59,     159603,        2,       323,  711111,    48220,     5022,    44887,    29772,  706850,    15918,    30725,    40398,    35906
  59,     159905,   100997,         3,  637432,       43,       39,       41,       66,  697573,       53,       81,       46,       67
  59,         38,        0,         0,       0,        0,        0,        0,        0,       0,        0,        0,        0,        0
  59,         89,        0,         0,       0,        0,        0,        0,        0,       0,        0,        0,        0,        0
  59,        192,        0,         0,       0,        0,        0,        0,        0,       0,        0,        0,        0,        0
  59,       1963,        0,         0,       0,        0,        0,        0,        0,       0,        0,        0,        0,        0
  59,      15736,        0,         0,       0,        0,        0,        0,        0,       0,        0,        0,        0,        0
 100,     215346,        2,      2827,   19374,     8038,     9240,     6487,     8035,    9601,     3327,     5199,     2909,     3636
 100,   18021712,      161,    239742, 1615028,   668309,   772497,   537502,   676802,  807595,   276058,   433197,   242660,   301451
 143,    2925811,        0,         0,       0,        0,        0,        0,        0,       0,        0,        0,        0,        0
 143,     156980,        2,      1237,   13898,     5779,     6879,     4328,     3731,    7204,     2444,     3423,     1913,     1724
 143,     283831,        2,      2287,   25320,    10450,    12483,     7880,     6803,   13108,     4409,     6182,     3501,     3106
 143,    1005809,        9,      8247,   90148,    37363,    43976,    28599,    24243,   46705,    15828,    22076,    12404,    11215
 143,     503625,        4,      4120,   45041,    18663,    22078,    14164,    12115,   23196,     7828,    10905,     6143,     5485
 143,      55828,        1,       465,    5056,     2106,     2537,     1621,     1389,    2572,      866,     1221,      671,      654
 143,     102829,        2,       837,    9189,     3880,     4600,     2896,     2472,    4744,     1605,     2249,     1246,     1164
 143,     104071,        2,       843,    9288,     3918,     4647,     2928,     2496,    4800,     1625,     2276,     1263,     1177
 143,    3191958,       17,     26493,  286003,   118541,   139347,    90392,    76735,  148087,    50569,    70321,    39642,    35994
 143,      58343,        1,         0,    5264,        0,        0,        0,        0,    2689,        0,        0,        0,        0
 143,     121357,        2,      2127,   10862,     5314,     6093,     4560,     3860,    5561,     2297,     3703,     2155,     1980
 143,    1006221,        9,     18231,   90189,    43792,    49984,    38279,    32047,   46724,    19345,    30973,    18017,    16545
 143,    1010750,        9,     18316,   90584,    43980,    50189,    38443,    32184,   46922,    19425,    31105,    18098,    16616
